coach_id,country_id,cup_id,Coach Name
0,FRA,1930,CAUDRON Raoul (FRA)
1,MEX,1930,LUQUE Juan (MEX)
2,FRA,1930,CAUDRON Raoul (FRA)
3,MEX,1930,LUQUE Juan (MEX)
4,FRA,1930,CAUDRON Raoul (FRA)
5,MEX,1930,LUQUE Juan (MEX)
6,FRA,1930,CAUDRON Raoul (FRA)
7,MEX,1930,LUQUE Juan (MEX)
8,FRA,1930,CAUDRON Raoul (FRA)
9,MEX,1930,LUQUE Juan (MEX)
10,FRA,1930,CAUDRON Raoul (FRA)
11,MEX,1930,LUQUE Juan (MEX)
12,FRA,1930,CAUDRON Raoul (FRA)
13,MEX,1930,LUQUE Juan (MEX)
14,FRA,1930,CAUDRON Raoul (FRA)
15,MEX,1930,LUQUE Juan (MEX)
16,FRA,1930,CAUDRON Raoul (FRA)
17,MEX,1930,LUQUE Juan (MEX)
18,FRA,1930,CAUDRON Raoul (FRA)
19,MEX,1930,LUQUE Juan (MEX)
20,FRA,1930,CAUDRON Raoul (FRA)
21,MEX,1930,LUQUE Juan (MEX)
22,FRA,1930,CAUDRON Raoul (FRA)
23,MEX,1930,LUQUE Juan (MEX)
24,FRA,1930,CAUDRON Raoul (FRA)
25,MEX,1930,LUQUE Juan (MEX)
26,FRA,1930,CAUDRON Raoul (FRA)
27,MEX,1930,LUQUE Juan (MEX)
28,FRA,1930,CAUDRON Raoul (FRA)
29,MEX,1930,LUQUE Juan (MEX)
30,FRA,1930,CAUDRON Raoul (FRA)
31,MEX,1930,LUQUE Juan (MEX)
32,MEX,1930,LUQUE Juan (MEX)
33,USA,1930,MILLAR Bob (USA)
34,BEL,1930,GOETINCK Hector (BEL)
35,USA,1930,MILLAR Bob (USA)
36,BEL,1930,GOETINCK Hector (BEL)
37,USA,1930,MILLAR Bob (USA)
38,BEL,1930,GOETINCK Hector (BEL)
39,USA,1930,MILLAR Bob (USA)
40,BEL,1930,GOETINCK Hector (BEL)
41,USA,1930,MILLAR Bob (USA)
42,BEL,1930,GOETINCK Hector (BEL)
43,USA,1930,MILLAR Bob (USA)
44,BEL,1930,GOETINCK Hector (BEL)
45,USA,1930,MILLAR Bob (USA)
46,BEL,1930,GOETINCK Hector (BEL)
47,USA,1930,MILLAR Bob (USA)
48,BEL,1930,GOETINCK Hector (BEL)
49,USA,1930,MILLAR Bob (USA)
50,BEL,1930,GOETINCK Hector (BEL)
51,USA,1930,MILLAR Bob (USA)
52,BEL,1930,GOETINCK Hector (BEL)
53,USA,1930,MILLAR Bob (USA)
54,BEL,1930,GOETINCK Hector (BEL)
55,USA,1930,MILLAR Bob (USA)
56,BEL,1930,GOETINCK Hector (BEL)
57,USA,1930,MILLAR Bob (USA)
58,BEL,1930,GOETINCK Hector (BEL)
59,USA,1930,MILLAR Bob (USA)
60,BEL,1930,GOETINCK Hector (BEL)
61,USA,1930,MILLAR Bob (USA)
62,BEL,1930,GOETINCK Hector (BEL)
63,USA,1930,MILLAR Bob (USA)
64,BEL,1930,GOETINCK Hector (BEL)
65,YUG,1930,SIMONOVIC Bosko (YUG)
66,BRA,1930,DE CARVALHO Pindaro (BRA)
67,YUG,1930,SIMONOVIC Bosko (YUG)
68,BRA,1930,DE CARVALHO Pindaro (BRA)
69,YUG,1930,SIMONOVIC Bosko (YUG)
70,BRA,1930,DE CARVALHO Pindaro (BRA)
71,YUG,1930,SIMONOVIC Bosko (YUG)
72,BRA,1930,DE CARVALHO Pindaro (BRA)
73,YUG,1930,SIMONOVIC Bosko (YUG)
74,BRA,1930,DE CARVALHO Pindaro (BRA)
75,YUG,1930,SIMONOVIC Bosko (YUG)
76,BRA,1930,DE CARVALHO Pindaro (BRA)
77,YUG,1930,SIMONOVIC Bosko (YUG)
78,BRA,1930,DE CARVALHO Pindaro (BRA)
79,YUG,1930,SIMONOVIC Bosko (YUG)
80,BRA,1930,DE CARVALHO Pindaro (BRA)
81,YUG,1930,SIMONOVIC Bosko (YUG)
82,BRA,1930,DE CARVALHO Pindaro (BRA)
83,YUG,1930,SIMONOVIC Bosko (YUG)
84,BRA,1930,DE CARVALHO Pindaro (BRA)
85,YUG,1930,SIMONOVIC Bosko (YUG)
86,BRA,1930,DE CARVALHO Pindaro (BRA)
87,YUG,1930,SIMONOVIC Bosko (YUG)
88,BRA,1930,DE CARVALHO Pindaro (BRA)
89,YUG,1930,SIMONOVIC Bosko (YUG)
90,BRA,1930,DE CARVALHO Pindaro (BRA)
91,YUG,1930,SIMONOVIC Bosko (YUG)
92,BRA,1930,DE CARVALHO Pindaro (BRA)
93,YUG,1930,SIMONOVIC Bosko (YUG)
94,BRA,1930,DE CARVALHO Pindaro (BRA)
95,YUG,1930,SIMONOVIC Bosko (YUG)
96,BRA,1930,DE CARVALHO Pindaro (BRA)
97,YUG,1930,SIMONOVIC Bosko (YUG)
98,BRA,1930,DE CARVALHO Pindaro (BRA)
99,BRA,1930,DE CARVALHO Pindaro (BRA)
