country_id,cup_id,coach_id,Name
FRA,1930,0,CAUDRON Raoul (FRA)
MEX,1930,1,LUQUE Juan (MEX)
USA,1930,2,MILLAR Bob (USA)
BEL,1930,3,GOETINCK Hector (BEL)
YUG,1930,4,SIMONOVIC Bosko (YUG)
BRA,1930,5,DE CARVALHO Pindaro (BRA)
ROU,1930,6,LUCHIDE Octav (ROU)
PER,1930,7,BRU Francisco (ESP)
ARG,1930,8,OLAZAR Francisco (ARG)
CHI,1930,9,ORTH Gyorgy (HUN)
BOL,1930,10,SAUCEDO Ulises (BOL)
PAR,1930,11,DURAND LAGUNA Jose (ARG)
URU,1930,12,SUPPICI Alberto (URU)
AUT,1934,13,MEISL Hugo (AUT)
FRA,1934,14,KIMPTON George (ENG)
HUN,1934,15,NADAS Odon (HUN)
EGY,1934,16,McREA James (SCO)
SUI,1934,17,MUELLER Henry (SUI)
NED,1934,18,GLENDENNING Bob (ENG)
SWE,1934,19,NAGY Joszef (HUN)
ARG,1934,20,PASCUCCI Felipe (ITA)
GER,1934,21,NERZ Otto (GER)
BEL,1934,22,GOETINCK Hector (BEL)
ESP,1934,23,GARCIA Amadeo (ESP)
BRA,1934,24,LUIZ VINHAES (BRA)
ITA,1934,25,POZZO Vittorio (ITA)
USA,1934,26,GOULD David (USA)
TCH,1934,27,PETRU Karel (TCH)
ROU,1934,28,RADULESCU Constantin (ROU)
SUI,1938,29,RAPPAN Karl (AUT)
GER,1938,30,HERBERGER Sepp (FRG)
HUN,1938,31,DIETZ Karoly (HUN)
INH,1938,32,VAN MASTENBROEK Johannes (NED)
FRA,1938,33,BARREAU Gaston (FRA)
BEL,1938,34,BUTLER Jack (ENG)
CUB,1938,35,TAPIA Jose (CUB)
ROU,1938,36,BRAUN Coloman (ROU)
ITA,1938,37,POZZO Vittorio (ITA)
NOR,1938,38,HALVORSEN Asbjorn (NOR)
BRA,1938,39,PIMENTA Ademar (BRA)
POL,1938,40,KALUZA Jozef (POL)
TCH,1938,41,MEISSNER Vaclav (TCH)
NED,1938,42,GLENDENNING Bob (ENG)
SWE,1938,43,NAGY Joszef (HUN)
BRA,1950,44,COSTA Flavio (BRA)
MEX,1950,45,VIAL Octavio (MEX)
ENG,1950,46,WINTERBOTTOM Walter (ENG)
CHI,1950,47,BUCCIARDI Arturo (CHI)
ESP,1950,48,EIZAGUIRRE Guillermo (ESP)
USA,1950,49,JEFFREY Bill (SCO)
SWE,1950,50,RAYNOR George (ENG)
ITA,1950,51,NOVO Ferruccio (ITA)
YUG,1950,52,ARSENIJEVIC Milorad (YUG)
SUI,1950,53,ANDREOLI Franco (SUI)
PAR,1950,54,FLEITAS SOLICH Manuel (PAR)
URU,1950,55,LOPEZ Juan (URU)
BOL,1950,56,PRETTO Mario (ITA)
URU,1954,57,LOPEZ Juan (URU)
TCH,1954,58,NEJEDLY Oldrich (TCH)
AUT,1954,59,NAUSCH Walter (AUT)
SCO,1954,60,BATTIE Andy (SCO)
BRA,1954,61,MOREIRA Zeze (BRA)
MEX,1954,62,LOPEZ Antonio (ESP)
YUG,1954,63,TIRNANIC Aleksandar (YUG)
FRA,1954,64,PIBAROT Pierre (FRA)
GER,1954,65,HERBERGER Sepp (FRG)
TUR,1954,66,PUPPO Sandro (ITA)
HUN,1954,67,SEBES Gusztav (HUN)
KOR,1954,68,KIM Yong Shik (KOR)
ENG,1954,69,WINTERBOTTOM Walter (ENG)
BEL,1954,70,LIVINGSTONE Doug (SCO)
SUI,1954,71,RAPPAN Karl (AUT)
ITA,1954,72,CZEIZLER Lajos (HUN)
TCH,1954,73,CEJP Josef (TCH)
SWE,1958,74,RAYNOR George (ENG)
MEX,1958,75,LOPEZ Antonio (ESP)
URS,1958,76,KACHALIN Gavril (URS)
ENG,1958,77,WINTERBOTTOM Walter (ENG)
ARG,1958,78,STABILE Guillermo (ARG)
GER,1958,79,HERBERGER Sepp (FRG)
HUN,1958,80,BAROTI Lajos (HUN)
WAL,1958,81,MURPHY James (WAL)
FRA,1958,82,BATTEAUX Albert (FRA)
PAR,1958,83,GONZALEZ Aurelio (PAR)
YUG,1958,84,TIRNANIC Aleksandar (YUG)
SCO,1958,85,WALKER Dawson (SCO)
BRA,1958,86,FEOLA Vicente (BRA)
AUT,1958,87,ARGAUER Josef (AUT)
NIR,1958,88,DOHERTY Peter (NIR)
TCH,1958,89,KOLSKY Karel (TCH)
URU,1962,90,CORAZZO Juan Carlos (URU)
COL,1962,91,PEDERNERA Adolfo (ARG)
BRA,1962,92,MOREIRA Aymore (BRA)
MEX,1962,93,TRELLEZ Ignacio (MEX)
ARG,1962,94,LORENZO Juan Carlos (ARG)
BUL,1962,95,PACHEDZHIEV Georgi (BUL)
CHI,1962,96,RIERA Fernando (CHI)
SUI,1962,97,RAPPAN Karl (AUT)
URS,1962,98,KACHALIN Gavril (URS)
YUG,1962,99,LOVRIC Ljubomir (YUG)
TCH,1962,100,VYTLACIL Rudolf (TCH)
ESP,1962,101,HERRERA Helenio (ARG)
HUN,1962,102,BAROTI Lajos (HUN)
ENG,1962,103,WINTERBOTTOM Walter (ENG)
GER,1962,104,HERBERGER Sepp (FRG)
ITA,1962,105,MAZZA Paolo (ITA)
ENG,1966,106,RAMSEY Alf (ENG)
URU,1966,107,VIERA Ondino (URU)
GER,1966,108,SCHOEN Helmut (FRG)
SUI,1966,109,FONI Alfredo (ITA)
BRA,1966,110,FEOLA Vicente (BRA)
BUL,1966,111,VYTLACIL Rudolf (TCH)
URS,1966,112,MOROZOV Nikolai (URS)
PRK,1966,113,MYUNG Rye Hyun (PRK)
FRA,1966,114,GUERIN Henri (FRA)
MEX,1966,115,TRELLEZ Ignacio (MEX)
POR,1966,116,GLORIA Otto (BRA)
HUN,1966,117,BAROTI Lajos (HUN)
ARG,1966,118,LORENZO Juan Carlos (ARG)
ESP,1966,119,VILLALONGA Jose (ESP)
ITA,1966,120,FABBRI Edmondo (ITA)
CHI,1966,121,ALAMOS Luis (CHI)
MEX,1970,122,CARDENAS Raul (MEX)
URS,1970,123,KACHALIN Gavril (URS)
URU,1970,124,HOHBERG Juan (URU)
ISR,1970,125,SHEFFER Emmanuel (ISR)
PER,1970,126,DIDI (BRA)
BUL,1970,127,BOZHKOV Stefan (BUL)
ENG,1970,128,RAMSEY Alf (ENG)
ROU,1970,129,NICULESCU Angelo (ROU)
ITA,1970,130,VALCAREGGI Ferruccio (ITA)
SWE,1970,131,BERGMARK Orvar (SWE)
GER,1970,132,SCHOEN Helmut (FRG)
MAR,1970,133,VIDINIC Blagoje (YUG)
BRA,1970,134,ZAGALLO Mario (BRA)
TCH,1970,135,MARKO Jozef (TCH)
BEL,1970,136,GOETHALS Raymond (BEL)
SLV,1970,137,CARRASCO Hernan (CHI)
BRA,1974,138,ZAGALLO Mario (BRA)
YUG,1974,139,MILJANIC Miljan (SRB)
GER,1974,140,SCHOEN Helmut (FRG)
CHI,1974,141,ALAMOS Luis (CHI)
GDR,1974,142,BUSCHNER Georg (GER)
AUS,1974,143,RASIC Rale (YUG)
ZAI,1974,144,VIDINIC Blagoje (YUG)
SCO,1974,145,ORMOND Willie (SCO)
URU,1974,146,PORTA Roberto (URU)
NED,1974,147,MICHELS Rinus (NED)
SWE,1974,148,ERICSON Georg (SWE)
BUL,1974,149,MLADENOV Hristo (BUL)
ITA,1974,150,VALCAREGGI Ferruccio (ITA)
HAI,1974,151,TASSY Antoine (HAI)
POL,1974,152,GORSKI Kazimierz (POL)
ARG,1974,153,CAP Vladislao (ARG)
GER,1978,154,SCHOEN Helmut (FRG)
POL,1978,155,GMOCH Jacek (POL)
ITA,1978,156,BEARZOT Enzo (ITA)
FRA,1978,157,HIDALGO Michel (FRA)
TUN,1978,158,CHETALI Abdelmajid (TUN)
MEX,1978,159,ROCA Jose (MEX)
ARG,1978,160,MENOTTI Cesar Luis (ARG)
HUN,1978,161,BAROTI Lajos (HUN)
SWE,1978,162,ERICSON Georg (SWE)
BRA,1978,163,COUTINHO Claudio (BRA)
AUT,1978,164,SENEKOWITSCH Helmut (AUT)
ESP,1978,165,KUBALA Ladislao (ESP)
PER,1978,166,CALDERON Marcos (PER)
SCO,1978,167,MacLEOD Alistair (SCO)
NED,1978,168,HAPPEL Ernst (AUT)
IRN,1978,169,MOHADJERANI Heshmat (IRN)
ARG,1982,170,MENOTTI Cesar Luis (ARG)
BEL,1982,171,THYS Guy (BEL)
ITA,1982,172,BEARZOT Enzo (ITA)
POL,1982,173,PIECHNICZEK Antoni (POL)
