country_id,Country
URU,Uruguay
USA,USA
ARG,Argentina
YUG,Yugoslavia
ITA,Italy
GER,Germany
AUT,Austria
TCH,Czechoslovakia
SWE,Sweden
HUN,Hungary
BRA,Brazil
ESP,Spain
FRA,France
CHI,Chile
ENG,England
POR,Portugal
URS,Soviet Union
POL,Poland
NED,Netherlands
BEL,Belgium
BUL,Bulgaria
CRO,Croatia
TUR,Turkey
KOR,Korea Republic
ROU,Romania
PAR,Paraguay
SUI,Switzerland
CUB,Cuba
NIR,Northern Ireland
MEX,Mexico
WAL,Wales
PRK,Korea DPR
PER,Peru
GDR,German DR
ZAI,Zaire
AUS,Australia
SCO,Scotland
HAI,Haiti
TUN,Tunisia
ALG,Algeria
HON,Honduras
CAN,Canada
MAR,Morocco
IRQ,Iraq
DEN,Denmark
UAE,United Arab Emirates
CRC,Costa Rica
CMR,Cameroon
IRL,Republic of Ireland
COL,Colombia
NOR,Norway
NGA,Nigeria
KSA,Saudi Arabia
BOL,Bolivia
RUS,Russia
GRE,Greece
JAM,Jamaica
RSA,South Africa
JPN,Japan
CHN,China PR
SEN,Senegal
SVN,Slovenia
ECU,Ecuador
TRI,Trinidad and Tobago
SCG,Serbia and Montenegro
ANG,Angola
CZE,Czech Republic
TOG,Togo
IRN,Iran
CIV,C�te d'Ivoire
GHA,Ghana
UKR,Ukraine
SRB,Serbia
NZL,New Zealand
SVK,Slovakia
BIH,Bosnia and Herzegovina
EGY,Egypt
INH,Dutch East Indies
ISR,Israel
SLV,El Salvador
KUW,Kuwait
