event_id,Event,MatchID,country_id,player_id
0,G45',1090,USA,35
1,G62',1093,BRA,74
2,G67',1091,BRA,74
3,G83',1091,BRA,74
4,R70',1098,PER,113
5,G40',1089,PAR,211
6,G15',1084,CHI,172
7,G8',1106,AUT,279
8,G28',1105,AUT,279
9,G28',1173,HUN,320
10,G40',1175,HUN,320
11,G65',1176,HUN,320
12,G70',1174,HUN,320
13,G89',1173,HUN,320
14,G35',1157,ROU,530
15,G57',1157,CUB,640
16,G80',1158,SWE,386
17,G57',1153,BRA,457
18,G63',1151,BRA,457
19,G74',1151,BRA,457
20,P60',1149,ITA,486
21,G7',1219,ITA,931
22,G12',1218,ITA,931
23,G59',1230,YUG,976
24,G35',1228,PAR,1004
25,G89',1222,MEX,813
26,G73',1207,URU,1023
27,G39',1264,URU,1023
28,G82',1206,ESP,891
29,G12',1294,HUN,1265
30,G17',1277,HUN,1265
31,G6',1278,HUN,1265
32,G89',1294,HUN,1265
33,G44',1300,ITA,921
34,P41',1243,ITA,946
35,G82',1284,TUR,1230
36,G62',1284,GER,1227
37,P54',1233,GER,1227
38,P64',1233,GER,1227
39,G32',1237,AUT,1104
40,G79',1239,AUT,1104
41,R71',1248,HUN,1261
42,P57',1415,SWE,1368
43,G4',1343,SWE,1368
44,G13',1372,URS,1412
45,G4',1423,PAR,1523
46,G49',1426,PAR,1523
47,G59',1391,GER,1229
48,G24',1390,GER,1229
49,G84',1382,GER,1229
50,P19',1479,COL,1650
51,Y1',1447,ARG,1730
52,G29',1564,YUG,1799
53,G20',1480,YUG,1799
54,G61',1480,YUG,1799
55,G42',1458,CHI,1766
56,G88',1609,PRK,2015
57,G1',1702,PRK,2015
58,G84',1637,GER,1458
59,G75',1660,GER,1458
60,G56',1839,GER,1458
61,G70',1774,GER,1458
62,G82',1811,GER,1458
63,Y1',1577,ARG,1739
64,R35',1577,ARG,1739
65,R49',1660,URU,1649
66,Y1',1702,POR,2079
67,Y1',1902,MEX,2043
68,Y1',1752,MEX,2043
69,P14',1752,MEX,2043
70,O12',1881,URU,1661
71,G55',1780,PER,2230
72,O72',1839,MAR,2339
73,OH46',1779,MAR,2339
74,Y1',1770,TCH,2366
75,O69',1919,ROU,2273
76,G56',1880,ISR,2201
77,O58',1774,BUL,1978
78,Y1',1820,SLV,2394
79,Y1',1820,SLV,2398
80,O27',1769,ROU,2260
81,Y1',1752,BEL,2409
82,Y1',1771,BRA,2363
83,G86',1765,BRA,2363
84,Y1',1843,URU,1927
85,O76',2003,CHI,2160
86,OH46',2004,CHI,2160
87,O57',1953,CHI,2160
88,Y40',2176,ZAI,2563
89,O62',1987,ZAI,2563
90,O78',2176,ZAI,2563
91,Y65',2098,URU,2596
92,Y1',1952,ARG,2107
93,W35',1949,ARG,2107
94,Y35',1948,ARG,2107
95,O21',2186,ZAI,2549
96,G14',2186,YUG,2453
97,O84',2066,YUG,2453
98,I21',2186,ZAI,2577
99,G75',1996,BUL,2237
100,G18',2085,POL,2701
101,G44',2129,POL,2701
102,P24',2170,POL,2701
103,G56',2431,POL,2701
104,O80',2170,POL,2701
105,O59',1987,BRA,2361
106,Y81',2062,GDR,2505
107,Y29',1990,NED,2602
108,G10',1948,NED,2602
109,G65',1983,NED,2602
110,Y45',2063,NED,2602
111,G90',1948,NED,2602
112,O25',1947,HAI,2670
113,G35',1945,ARG,2702
114,O32',2065,SWE,2302
115,Y44',1983,BRA,2440
116,P45',2433,MEX,2807
117,Y1',2350,MEX,2807
118,O88',2433,TUN,2810
119,Y77',2199,ARG,2856
120,P45',2197,ARG,2856
121,P22',751,ARG,2856
122,G83',753,ARG,2856
123,Y33',750,ARG,2856
124,O75',2451,SCO,2961
125,O39',2350,MEX,2801
126,I39',2350,MEX,2843
127,O55',2197,FRA,2762
128,G75',2337,ESP,2920
129,Y89',2450,PER,2957
130,Y1',2348,GER,1974
131,O21',2391,NED,2623
132,I21',2391,NED,2593
133,Y1',2217,AUT,2917
134,W59',2217,GER,2335
135,Y15',2198,NED,2599
136,G75',791,BRA,3088
137,G12',788,BRA,3088
138,Y80',833,CMR,3114
