MatchID,RoundID,cup_id,Stage,City,Stadium,Attendance
25,323,1990,Round of 16,Turin ,Stadio delle Alpi,61381
26,322,1990,Group B,Milan ,Giuseppe Meazza,73780
27,3462,1990,Final,Rome ,Stadio Olimpico,73603
28,3464,1990,Semi-finals,Naples ,San Paolo,59978
29,322,1990,Group B,Naples ,San Paolo,52733
30,322,1990,Group B,Naples ,San Paolo,55759
31,751,1990,Quarter-finals,Florence ,Comunale,38971
42,322,1990,Group A,Rome ,Stadio Olimpico,73303
43,322,1990,Group A,Florence ,Comunale,38962
48,322,1990,Group A,Florence ,Comunale,34857
55,323,1990,Round of 16,Bologna ,Renato Dall Ara,34520
56,322,1990,Group E,Verona ,Marc Antonio Bentegodi,35950
57,322,1990,Group E,Verona ,Marc Antonio Bentegodi,32790
66,322,1990,Group E,Verona ,Marc Antonio Bentegodi,33759
73,322,1990,Group C,Turin ,Stadio delle Alpi,58007
74,322,1990,Group C,Turin ,Stadio delle Alpi,62502
75,322,1990,Group C,Turin ,Stadio delle Alpi,62628
102,323,1990,Round of 16,Naples ,San Paolo,50026
103,751,1990,Quarter-finals,Naples ,San Paolo,55205
108,322,1990,Group B,Bari ,Stadio San Nicola,38687
111,322,1990,Group B,Bari ,Stadio San Nicola,37307
114,322,1990,Group D,Milan ,Giuseppe Meazza,72510
119,322,1990,Group D,Bologna ,Renato Dall Ara,30791
120,322,1990,Group D,Bologna ,Renato Dall Ara,32257
127,322,1990,Group C,Genoa ,Luigi Ferraris,30867
128,322,1990,Group C,Genoa ,Luigi Ferraris,30223
129,323,1990,Round of 16,Bari ,Stadio San Nicola,47673
150,322,1990,Group F,Cagliari ,Sant Elia,34959
151,322,1990,Group F,Palermo ,Della Favorita,33288
152,322,1990,Group F,Palermo ,Della Favorita,33288
159,3464,1990,Semi-finals,Turin ,Stadio delle Alpi,62628
160,322,1990,Group F,Cagliari ,Sant Elia,35267
161,322,1990,Group F,Cagliari ,Sant Elia,35238
162,3463,1990,Match for third place,Bari ,Stadio San Nicola,51426
175,322,1990,Group E,Udine ,Dacia Arena,32733
180,322,1990,Group E,Udine ,Dacia Arena,35713
181,323,1990,Round of 16,Verona ,Marc Antonio Bentegodi,35500
196,323,1990,Round of 16,Milan ,Giuseppe Meazza,74559
197,751,1990,Quarter-finals,Milan ,Giuseppe Meazza,73347
198,322,1990,Group D,Milan ,Giuseppe Meazza,71169
201,322,1990,Group D,Milan ,Giuseppe Meazza,74765
228,322,1990,Group F,Palermo ,Della Favorita,33288
243,751,1990,Quarter-finals,Rome ,Stadio Olimpico,73303
248,323,1990,Round of 16,Genoa ,Luigi Ferraris,31818
263,322,1990,Group A,Rome ,Stadio Olimpico,73303
264,323,1990,Round of 16,Rome ,Stadio Olimpico,73303
265,322,1990,Group A,Rome ,Stadio Olimpico,73423
290,322,1990,Group E,Udine ,Friuli,29039
342,322,1990,Group B,Bari ,Stadio San Nicola,42907
348,322,1990,Group C,Genoa ,Luigi Ferraris,31823
355,322,1990,Group A,Florence ,Comunale,33266
364,322,1990,Group D,Bologna ,Renato Dall Ara,27833
377,308,1986,Group D,Guadalajara ,Jalisco,48000
378,308,1986,Group D,Monterrey ,Tecnologico,23980
379,308,1986,Group D,Guadalajara ,Tres de Marzo,22000
388,3469,1986,Semi-finals,Mexico City ,Estadio Azteca,114500
389,308,1986,Group A,Mexico City ,Estadio Ol�mpico Universitario,65000
392,714,1986,Quarter-finals,Mexico City ,Estadio Azteca,114580
393,3467,1986,Final,Mexico City ,Estadio Azteca,114600
394,308,1986,Group A,Puebla ,Cuauhtemoc,32000
395,308,1986,Group A,Mexico City ,Estadio Ol�mpico Universitario,60000
398,309,1986,Round of 16,Puebla ,Cuauhtemoc,26000
421,714,1986,Quarter-finals,Puebla ,Cuauhtemoc,45000
422,3468,1986,Match for third place,Puebla ,Cuauhtemoc,21000
427,308,1986,Group B,Toluca ,Bombonera - Estadio Nemesio Diez,20000
428,308,1986,Group B,Mexico City ,Estadio Azteca,110000
429,308,1986,Group B,Toluca ,Bombonera - Estadio Nemesio Diez,16000
432,309,1986,Round of 16,Leon ,Nou Camp - Estadio Le�n,32277
439,308,1986,Group D,Guadalajara ,Jalisco,35748
440,714,1986,Quarter-finals,Guadalajara ,Jalisco,65000
441,308,1986,Group D,Guadalajara ,Jalisco,51000
444,309,1986,Round of 16,Guadalajara ,Jalisco,45000
459,308,1986,Group A,Mexico City ,Estadio Azteca,96000
460,308,1986,Group A,Mexico City ,Estadio Ol�mpico Universitario,45000
463,309,1986,Round of 16,Mexico City ,Estadio Azteca,114580
468,308,1986,Group C,Leon ,Nou Camp - Estadio Le�n,65500
475,308,1986,Group C,Irapuato ,Estadio Irapuato,13800
476,308,1986,Group C,Irapuato ,Estadio Irapuato,14200
511,309,1986,Round of 16,Queretaro ,Estadio Corregidora,38500
512,308,1986,Group E,Queretaro ,Estadio Corregidora,36000
517,308,1986,Group E,Nezahualcoyotl ,Neza,18000
522,308,1986,Group E,Nezahualcoyotl ,Neza,26500
533,308,1986,Group F,Monterrey ,Tecnologico,20200
536,309,1986,Round of 16,Mexico City ,Estadio Azteca,98728
537,308,1986,Group F,Monterrey ,Tecnologico,22700
538,308,1986,Group F,Monterrey ,Tecnologico,23000
551,308,1986,Group D,Guadalajara ,Tres de Marzo,28000
564,3469,1986,Semi-finals,Guadalajara ,Jalisco,45000
567,308,1986,Group C,Leon ,Nou Camp - Estadio Le�n,31420
568,309,1986,Round of 16,Mexico City ,Estadio Ol�mpico Universitario,70000
571,308,1986,Group C,Leon ,Nou Camp - Estadio Le�n,36540
574,309,1986,Round of 16,Monterrey ,Estadio Universitario,19800
575,714,1986,Quarter-finals,Monterrey ,Estadio Universitario,41700
580,308,1986,Group E,Queretaro ,Estadio Corregidora,30000
585,308,1986,Group E,Queretaro ,Estadio Corregidora,30500
610,308,1986,Group C,Irapuato ,Estadio Irapuato,16500
627,308,1986,Group B,Mexico City ,Estadio Azteca,103763
628,308,1986,Group B,Toluca ,Bombonera - Estadio Nemesio Diez,24000
643,308,1986,Group A,Puebla ,Cuauhtemoc,20000
674,308,1986,Group F,Monterrey ,Estadio Universitario,19900
675,308,1986,Group F,Guadalajara ,Tres de Marzo,28000
680,308,1986,Group B,Mexico City ,Estadio Azteca,114600
701,308,1986,Group F,Monterrey ,Estadio Universitario,19915
712,308,1986,Group E,Nezahualcoyotl ,Neza,20000
739,293,1982,Group 2,Oviedo ,Carlos Tartiere,22000
740,293,1982,Group 2,Oviedo ,Carlos Tartiere,16000
741,293,1982,Group 2,Gijon ,El Molinon,42000
749,293,1982,Group 3,Barcelona ,Camp Nou,95000
750,294,1982,Group 3,Barcelona ,Sarria,44000
751,293,1982,Group 3,Alicante ,Jose Rico Perez,32500
752,293,1982,Group 3,Alicante ,Jose Rico Perez,32093
753,294,1982,Group 3,Barcelona ,Sarria,43000
764,293,1982,Group 2,Oviedo ,Carlos Tartiere,22500
767,294,1982,Group 4,Madrid ,Vicente Calderon,37000
770,293,1982,Group 2,Gijon ,El Molinon,41000
771,294,1982,Group 4,Madrid ,Vicente Calderon,20000
774,293,1982,Group 3,Elche ,Nuevo Estadio,15000
779,293,1982,Group 3,Elche ,Nuevo Estadio,37000
782,294,1982,Group 1,Barcelona ,Camp Nou,65000
783,294,1982,Group 1,Barcelona ,Camp Nou,45000
788,294,1982,Group 3,Barcelona ,Sarria,44000
789,293,1982,Group 6,Seville ,Benito Villamarin,43000
790,293,1982,Group 6,Seville ,Benito Villamarin,47379
791,293,1982,Group 6,Seville ,Ramon Sanchez Pizjuan,68000
813,293,1982,Group 2,Gijon ,El Molinon,42000
828,293,1982,Group 1,Vigo ,Estadio Municipal de Bala�dos,20000
833,293,1982,Group 1,La Coru�A ,Riazor,11000
834,293,1982,Group 1,La Coru�A ,Riazor,19000
877,294,1982,Group 2,Madrid ,Santiago Bernabeu,75000
878,293,1982,Group 4,Bilbao ,San Mames,44172
879,294,1982,Group 2,Madrid ,Santiago Bernabeu,75000
882,293,1982,Group 4,Bilbao ,San Mames,39700
889,293,1982,Group 4,Bilbao ,San Mames,41123
896,293,1982,Group 3,Elche ,Nuevo Estadio,23000
900,294,1982,Group 2,Madrid ,Santiago Bernabeu,90089
901,293,1982,Group 5,Valencia ,Luis Casanova,49562
902,293,1982,Group 5,Valencia ,Luis Casanova,49562
903,293,1982,Group 5,Valencia ,Luis Casanova,48000
914,295,1982,Semi-finals,Seville ,Ramon Sanchez Pizjuan,70000
919,293,1982,Group 4,Valladolid ,Jose Zorrilla,30043
920,294,1982,Group 4,Madrid ,Vicente Calderon,37000
921,676,1982,Match for third place,Alicante ,Jose Rico Perez,28000
922,293,1982,Group 4,Valladolid ,Jose Zorrilla,28000
923,3475,1982,Final,Madrid ,Santiago Bernabeu,90000
959,293,1982,Group 5,Zaragoza ,La Romareda,15000
962,293,1982,Group 5,Zaragoza ,La Romareda,25000
994,293,1982,Group 1,Vigo ,Estadio Municipal de Bala�dos,25000
995,293,1982,Group 1,Vigo ,Estadio Municipal de Bala�dos,33000
996,295,1982,Semi-finals,Barcelona ,Camp Nou,50000
1012,293,1982,Group 4,Valladolid ,Jose Zorrilla,25000
1044,293,1982,Group 5,Zaragoza ,La Romareda,25000
1051,293,1982,Group 6,Malaga ,La Rosaleda,36000
1054,293,1982,Group 6,Malaga ,La Rosaleda,19000
