MatchID,Status,Name
1096,Referee,LOMBARDI Domingo (URU)
1090,Referee,MACIAS Jose (ARG)
1093,Referee,TEJADA Anibal (URU)
1098,Referee,WARNKEN Alberto (CHI)
1085,Referee,REGO Gilberto (BRA)
1095,Referee,CRISTOPHE Henry (BEL)
1092,Referee,MATEUCCI Francisco (URU)
1097,Referee,MACIAS Jose (ARG)
1099,Referee,LANGENUS Jean (BEL)
1094,Referee,TEJADA Anibal (URU)
1086,Referee,SAUCEDO Ulises (BOL)
1091,Referee,BALWAY Thomas (FRA)
1089,Referee,VALLARINO Ricardo (URU)
1100,Referee,REGO Gilberto (BRA)
1084,Referee,LANGENUS Jean (BEL)
1088,Referee,LANGENUS Jean (BEL)
1101,Referee,REGO Gilberto (BRA)
1087,Referee,LANGENUS Jean (BEL)
1104,Referee,VAN MOORSEL Johannes (NED)
1119,Referee,BARLASSINA Rinaldo (ITA)
1133,Referee,EKLIND Ivan (SWE)
1102,Referee,BRAUN Eugen (AUT)
1108,Referee,MATTEA Francesco (ITA)
1111,Referee,BIRLEM Alfred (GER)
1135,Referee,MERCET Rene (SUI)
1141,Referee,LANGENUS Jean (BEL)
1143,Referee,BERANEK Alois (AUT)
1129,Referee,BARLASSINA Rinaldo (ITA)
1122,Referee,BAERT Louis (BEL)
1106,Referee,MATTEA Francesco (ITA)
1123,Referee,MERCET Rene (SUI)
1107,Referee,EKLIND Ivan (SWE)
1130,Referee,BARLASSINA Rinaldo (ITA)
1105,Referee,CARRARO Albino (ITA)
1134,Referee,EKLIND Ivan (SWE)
1165,Referee,LANGENUS Jean (BEL)
1173,Referee,CONRIE Roger (FRA)
1146,Referee,WUETHRICH Hans (SUI)
1156,Referee,SCARPI Giuseppe (ITA)
1179,Referee,BERANEK Alois (AUT)
1150,Referee,EKLIND Ivan (SWE)
1172,Referee,LECLERCQ Lucien (FRA)
1157,Referee,BIRLEM Alfred (GER)
1166,Referee,EKLIND Ivan (SWE)
1152,Referee,VON HERTZKA Pal (HUN)
1175,Referee,BARLASSINA Rinaldo (ITA)
1158,Referee,KRIST Gustav (TCH)
1164,Referee,BAERT Louis (BEL)
1153,Referee,CAPDEVILLE Georges (FRA)
1176,Referee,LECLERCQ Lucien (FRA)
1149,Referee,WUETHRICH Hans (SUI)
1151,Referee,LANGENUS Jean (BEL)
1174,Referee,CAPDEVILLE Georges (FRA)
1187,Referee,READER George (ENG)
1192,Referee,VAN DER MEER Karel (NED)
1208,Referee,VIANA Mario (BRA)
1219,Referee,LUTZ Jean (SUI)
1230,Referee,GALEATI Giovanni (ITA)
1188,Referee,AZON ROMA Ramon (ESP)
1225,Referee,LEAFE Reginald (ENG)
1193,Referee,MALCHER Alberto (BRA)
1228,Referee,MITCHELL Robert (SCO)
1202,Referee,DATTILO Generoso (ITA)
1191,Referee,GRIFFITHS Benjamin (WAL)
1199,Referee,GALEATI Giovanni (ITA)
1218,Referee,ELLIS Arthur (ENG)
1185,Referee,READER George (ENG)
1222,Referee,EKLIND Ivan (SWE)
1194,Referee,GARDELLI Mario (BRA)
1207,Referee,GRIFFITHS Benjamin (WAL)
1189,Referee,ELLIS Arthur (ENG)
1186,Referee,LEAFE Reginald (ENG)
1231,Referee,GALEATI Giovanni (ITA)
1206,Referee,VAN DER MEER Karel (NED)
1190,Referee,READER George (ENG)
1315,Referee,ELLIS Arthur (ENG)
1236,Referee,FRANKEN Laurent (BEL)
1249,Referee,WYSSLING Paul (SUI)
1276,Referee,GRIFFITHS Benjamin (WAL)
1283,Referee,DA COSTA VIEIRA Jose (POR)
1294,Referee,VINCENTI Raymond (FRA)
1240,Referee,SCHMETZER Emil (FRG)
1300,Referee,VIANA Mario (BRA)
1313,Referee,ORLANDINI Vincenzo (ITA)
1238,Referee,STEFANOVIC Vasa (YUG)
1275,Referee,ASENSI Manuel (ESP)
1252,Referee,FAULTLESS Charlie (SCO)
1277,Referee,LING William (ENG)
1304,Referee,MARINO Esteban (URU)
1263,Referee,ZSOLT Istvan (HUN)
1243,Referee,STEINER Carl (AUT)
1284,Referee,VINCENTI Raymond (FRA)
1301,Referee,GRIFFITHS Benjamin (WAL)
1264,Referee,STEINER Carl (AUT)
1237,Referee,FAULTLESS Charlie (SCO)
1285,Referee,ZSOLT Istvan (HUN)
1248,Referee,ELLIS Arthur (ENG)
1233,Referee,ORLANDINI Vincenzo (ITA)
1295,Referee,GRIFFITHS Benjamin (WAL)
1239,Referee,WYSSLING Paul (SUI)
1278,Referee,LING William (ENG)
1415,Referee,LATYCHEV Nikolaj (URS)
1372,Referee,ZSOLT Istvan (HUN)
1323,Referee,LEAFE Reginald (ENG)
1407,Referee,CODESAL Jose Maria (URU)
1386,Referee,GARDEAZABAL Juan (ESP)
1434,Referee,WYSSLING Paul (SUI)
1326,Referee,GUIGUE Maurice (FRA)
1421,Referee,SEIPELT Fritz (AUT)
1339,Referee,DUSCH Albert (GER)
1418,Referee,LEMESIC Leo (YUG)
1423,Referee,ORLANDINI Vincenzo (ITA)
1388,Referee,GRIFFITHS Benjamin (WAL)
1332,Referee,JORGENSEN Carl Frederik (DEN)
1391,Referee,ELLIS Arthur (ENG)
1324,Referee,AHLNER Sten (SWE)
1406,Referee,MOWAT Jack (SCO)
1438,Referee,VAN NUFFEL Lucien (BEL)
1344,Referee,GUIGUE Maurice (FRA)
1389,Referee,FERNANDES CAMPOS Joaquim (POR)
1403,Referee,ERIKSSON Arne (FIN)
1426,Referee,MACKO Martin (TCH)
1387,Referee,BROZZI Juan (ARG)
1327,Referee,BRONKHORST Jan (NED)
1325,Referee,ELLIS Arthur (ENG)
1373,Referee,DUSCH Albert (GER)
1422,Referee,GUIGUE Maurice (FRA)
1408,Referee,LATYCHEV Nikolaj (URS)
1345,Referee,SEIPELT Fritz (AUT)
1392,Referee,WYSSLING Paul (SUI)
1437,Referee,LEAFE Reginald (ENG)
1385,Referee,GARDEAZABAL Juan (ESP)
1390,Referee,ZSOLT Istvan (HUN)
1340,Referee,GRIFFITHS Benjamin (WAL)
1382,Referee,BROZZI Juan (ARG)
1343,Referee,GUIGUE Maurice (FRA)
1479,Referee,DOROGI Andor (HUN)
